t,gamma,trott1_mean,trott1_sem,n_trott1,trott2_mean,trott2_sem,n_trott2,ratio_trott1_over_trott2
0.2,0.0,0.13133367394626594,0.0017077523348991304,300,0.0059253700289018845,5.9083996357397605e-05,300,22.164636690310676
0.2,0.02,0.1267876731419895,0.0014807941069550426,300,0.0018226540609274622,9.003069984134032e-05,300,69.56211596043259
0.2,0.04,0.12275558544821782,0.001556349167318996,300,0.0011557498225987003,0.00010329572114959164,300,106.21293903571815
0.2,0.06,0.11545978550871216,0.0015252568419671993,300,0.001181074414547419,0.00015991595104515097,300,97.75826492097511
0.2,0.08,0.11812039179447988,0.0013263658314159163,300,0.001019660725793552,0.00016809918979907227,300,115.84283753064292
0.2,0.1,0.1149796316889825,0.0013463530670821094,300,0.0008300857636736508,0.00017446495150286976,300,138.5153639789284
0.2,0.2,0.10377098320331936,0.001031595737877838,300,0.0006907979272198056,0.0002427365762132484,300,150.21901357023089
0.2,0.3,0.09365829730485134,0.0009252560663225245,300,0.0014186901740137004,0.0005763999548327231,300,66.01744272315435
0.2,0.4,0.08547675297509852,0.000865872807066503,300,0.001421239077049944,0.0006167448965882279,300,60.14241682161035
0.2,0.5,0.07635347824992773,0.0008484846338432845,300,0.0014551302768278126,0.0005919624901503126,300,52.471919157904196
0.4,0.0,0.4030218922885533,0.004182846716702876,300,0.03881316038211109,0.0004841940773454513,300,10.383640196285208
0.4,0.02,0.3851986635042469,0.003843076674915493,300,0.0033391734159871215,0.0002551981001959085,300,115.35748986860422
0.4,0.04,0.36422572849666807,0.0038823238419044385,300,0.0017382273877523107,0.0002650719591125781,300,209.538597230162
0.4,0.06,0.34351680722787636,0.0035566158304604226,300,0.0013075607515428266,0.0003046017150222227,300,262.7157528417334
0.4,0.08,0.3381232923136263,0.00270161442668885,300,0.0012001060006286953,0.00030705139648576373,300,281.7445226809089
0.4,0.1,0.32312283998820157,0.0024011674200688452,300,0.0023201311125387305,0.0007028872120402999,300,139.26921553783853
0.4,0.2,0.26273702840603225,0.002006541209202847,300,0.001067565848816607,0.000654060051306333,300,246.10849878466544
0.4,0.3,0.21396508119152094,0.002232411081062671,300,0.00672134952494902,0.0022201315491606217,300,31.833648941674973
0.4,0.4,0.1759441774364887,0.002666725672215937,300,0.0031105503139447445,0.0015402066101964102,300,56.56368156069446
0.4,0.5,0.14596441047526768,0.002956094633560809,300,0.008127216029121713,0.002847055419362927,300,17.95995208595946
0.6,0.0,0.6896697030807485,0.006333765350023487,300,0.10215178040743426,0.0011323215345732205,300,6.751421270681608
0.6,0.02,0.6414652316333533,0.005265675385996599,300,0.0027042084596347743,0.00033127944995831445,300,237.20997889341288
0.6,0.04,0.59436774206581,0.004618938028564916,300,0.0015510013471940632,0.00030367965075973083,300,383.21549052235736
0.6,0.06,0.5499799761553754,0.0044515012922347165,300,0.0013257914796594697,0.0004067481360891798,300,414.83143057808616
0.6,0.08,0.5161319856621327,0.0036042496388426688,300,0.002879481398793616,0.0008552844523557719,300,179.24477160309866
0.6,0.1,0.48719688195261285,0.003042585696598895,300,0.001517314705365242,0.0006756555821301549,300,321.0915179493609
0.6,0.2,0.3484303348276807,0.0034968477003357447,300,0.003958203256818332,0.0017667901732137438,300,88.0273983473387
0.6,0.3,0.2674870902167742,0.004300090595603013,300,0.004915594061201134,0.0023753664363447614,300,54.41602518158573
0.6,0.4,0.19745614882622084,0.00445203561209444,300,0.0051674406945497265,0.002595388148511831,300,38.211594578044114
0.6,0.5,0.1518500578418053,0.00476978180066835,300,0.007139243376417612,0.003114527684665135,300,21.26976905471485
0.8,0.0,0.8817461065849015,0.006988240994375716,300,0.32751353407777695,0.005127684948664665,300,2.692243265817244
0.8,0.02,0.8054434949150704,0.004863130285516495,300,0.2966211559351973,0.004791874628466204,300,2.71539463318333
0.8,0.04,0.7220217771827683,0.0048589349980035345,300,0.27305801012682396,0.0035350914161654395,300,2.644206543684324
0.8,0.06,0.6695826403889386,0.003343781469153773,300,0.2479055049803083,0.003263502590445169,300,2.7009591434531677
0.8,0.08,0.6088815470170124,0.0032584942904690596,300,0.22442506106956125,0.002863914905616321,300,2.7130728810553273
0.8,0.1,0.5549295688725114,0.0037599403562414866,300,0.20385062306254445,0.0025185035312165344,300,2.7222363146874007
0.8,0.2,0.3676567462179962,0.0049280969215688645,300,0.1288350107834953,0.001528543195066788,300,2.853702141848974
0.8,0.3,0.250818886622304,0.005861043520034066,300,0.08733846121827132,0.0016710624918398493,300,2.8718033627301
0.8,0.4,0.17771274850673738,0.0061911571150205826,300,0.05645175868467722,0.0013071403386891876,300,3.1480462725596925
0.8,0.5,0.12341281914630121,0.005788848081450113,300,0.04042197201466473,0.0012267877027218447,300,3.0531122801611
1.0,0.0,1.0173687871999653,0.007648949591726867,300,0.5798211226817356,0.009190011410509433,300,1.7546252583805921
1.0,0.02,0.9083904000438648,0.0055028803764259815,300,0.5238753597457271,0.005850019737960924,300,1.7339819160129415
1.0,0.04,0.811217563733498,0.005033066011899516,300,0.44503748596208104,0.005971300158719209,300,1.822807267526711
1.0,0.06,0.7255641108740986,0.003842063204608471,300,0.4015601747291201,0.003927960794079001,300,1.806862723285598
1.0,0.08,0.651297516943392,0.004648665206664167,300,0.36164273359277127,0.002953855735590425,300,1.800941803732706
1.0,0.1,0.5803841054250053,0.004974658180283177,300,0.3189711040667859,0.003128979982894001,300,1.8195507305372869
1.0,0.2,0.34332452141431974,0.006976351837012368,300,0.17562221751884588,0.002264752393047471,300,1.9549036919402174
1.0,0.3,0.22021974838796088,0.007478154812963616,300,0.10061255190212064,0.0022351920447580545,300,2.1887900090457726
1.0,0.4,0.14858199628001179,0.006856222163420139,300,0.07138294122996379,0.0023758476737485486,300,2.0814776432557927
1.0,0.5,0.10975899204347253,0.0068011655483060564,300,0.04152024043265787,0.0018563277103682252,300,2.6435056950474998
2.0,0.0,0.8099645140371543,0.015547888317127374,300,0.6371428361687616,0.016244316390091003,300,1.2712447948211993
2.0,0.02,0.659064241351683,0.015022118424094545,300,0.5198747406328142,0.01532149468804635,300,1.2677366100715746
2.0,0.04,0.5296837837597401,0.01483345611614548,300,0.3967799184166062,0.013841156327627216,300,1.3349561285094804
2.0,0.06,0.468774434779956,0.01633744144833718,300,0.32890713136327693,0.013212074535229197,300,1.4252486190765992
2.0,0.08,0.38165075635001605,0.015929441250674466,300,0.27436050975646,0.012943498151400785,300,1.391055719676253
2.0,0.1,0.34470706867356626,0.015178256355960165,300,0.2131383268324402,0.01103381110844747,300,1.6172927403364648
2.0,0.2,0.17775740993604572,0.013350568854337018,300,0.10830379027501576,0.009358005064895269,300,1.641285217116284
2.0,0.3,0.12114699760073014,0.011690401512111323,300,0.054176667392687866,0.006546928911841351,300,2.2361470985770002
2.0,0.4,0.08970112866884393,0.009524568782555906,300,0.037394484760919694,0.0057217260173803575,300,2.3987796393597853
2.0,0.5,0.05572391035541853,0.0074526018036068006,300,0.02311512349598512,0.003910284086176913,300,2.4107122060194595
3.0,0.0,0.6483228814204461,0.015614004570549093,300,0.39480560355205974,0.020610929893098942,300,1.6421319140039945
3.0,0.02,0.4741622624497179,0.015631229063114302,300,0.28372026025330643,0.0177159263431103,300,1.6712315927892643
3.0,0.04,0.37233533496616555,0.01611964111345256,300,0.20479792966727484,0.015017532091606169,300,1.8180620066378628
3.0,0.06,0.31282991710741154,0.015064822520611941,300,0.16116541741271145,0.014018964423098529,300,1.941048657518868
3.0,0.08,0.26361977237194023,0.01598925834593291,300,0.1375854073455381,0.012246053543835386,300,1.9160445679378908
3.0,0.1,0.21352090206628052,0.013814997882779775,300,0.10448342182645351,0.011140103463817438,300,2.0435864210203394
3.0,0.2,0.09640636483440666,0.010131294269146471,300,0.05684163201232262,0.009188675434348113,300,1.6960520207003709
3.0,0.3,0.06993583771058423,0.009209555830636429,300,0.031197435436926692,0.006400259571159462,300,2.241717523607887
3.0,0.4,0.04304119028336499,0.007692064713175073,300,0.02754285255797143,0.0055511116550507125,300,1.5626990774747493
3.0,0.5,0.026061839433037554,0.004988377400205163,300,0.017115908729040806,0.004364775984019803,300,1.5226675863734924
4.0,0.0,1.0036810494871429,0.003260433310503681,300,0.8679034401338473,0.008004968231419322,300,1.1564432206102975
4.0,0.02,0.6488841117065621,0.008412281890937652,300,0.5744917642636159,0.010779851316138737,300,1.1294924524084387
4.0,0.04,0.45598901315484414,0.012137107056711803,300,0.37890362910356784,0.010506275770853018,300,1.2034432455388442
4.0,0.06,0.3211176333662317,0.013228167901768053,300,0.26837043311066466,0.011546159952080854,300,1.1965462426101774
4.0,0.08,0.2479952163961376,0.012782954430816043,300,0.19060947451989782,0.010805888259659922,300,1.3010644776225395
4.0,0.1,0.17651755563108715,0.011379987898964276,300,0.15754346948758077,0.011517127970306977,300,1.120437147951741
4.0,0.2,0.07390861256170296,0.008832264801167335,300,0.07418676164367162,0.008478456526065496,300,0.9962506911501995
4.0,0.3,0.046522996900120704,0.007226127997619489,300,0.03933745339699554,0.0069463061687351085,300,1.1826641758074246
4.0,0.4,0.033406827838310345,0.00638176010195827,300,0.02304920985353196,0.004725279975617378,300,1.449369763675054
4.0,0.5,0.024934395858249848,0.004231549327904525,300,0.02377193528592976,0.0054415911436364265,300,1.0489005442063495
5.0,0.0,1.0083612718634338,0.003183678277467292,300,0.9627660697396841,0.01085009922807171,300,1.0473585469584297
5.0,0.02,0.6237764973347917,0.011108118165808171,300,0.5965889342083883,0.010677823473010474,300,1.0455716852383097
5.0,0.04,0.4164655859847946,0.013213737075966863,300,0.39340738989987545,0.013254092299883368,300,1.0586114970814036
5.0,0.06,0.29147263116657296,0.013947242252131835,300,0.2864617227886067,0.012923454825005627,300,1.0174924186351557
5.0,0.08,0.22803701174777927,0.013920425336408195,300,0.1941795600216126,0.012428958926151057,300,1.1743615637114342
5.0,0.1,0.19733443957881738,0.013891524713706253,300,0.15138669772524357,0.011503415210752954,300,1.303512412543444
5.0,0.2,0.07571685727023231,0.009697576483982711,300,0.06758731301760294,0.008893300437268171,300,1.12028210457948
5.0,0.3,0.04943999308025259,0.00824871945190726,300,0.030895021559816556,0.005617775927347912,300,1.6002576008736777
5.0,0.4,0.038940562652293065,0.007219492977973119,300,0.03183964354359371,0.006014621696298649,300,1.2230213130048715
5.0,0.5,0.03021627750898464,0.005949920279938614,300,0.026375256182201802,0.006033710711396469,300,1.145629725840342
6.0,0.0,0.808852836061734,0.009085105044898343,300,0.5273389666337228,0.01276386638268744,300,1.5338385502309069
6.0,0.02,0.45148527716219605,0.011954669502277658,300,0.30413998060323505,0.012927947592669839,300,1.4844653973697062
6.0,0.04,0.26869771480919913,0.012490988728353771,300,0.17255611180880084,0.011111426788085303,300,1.5571613893741827
6.0,0.06,0.16670745779841592,0.01135658962556528,300,0.11074027005363524,0.009536428249148724,300,1.5053914688638008
6.0,0.08,0.13802393441013952,0.011687806833329848,300,0.07335411826056944,0.007795809367320061,300,1.8816112535065739
6.0,0.1,0.11220784748620434,0.010831961956046332,300,0.07135923106038336,0.009311208032370243,300,1.5724363312050735
6.0,0.2,0.04346070258832109,0.0065160679147373245,300,0.03233959871888815,0.006122818837983178,300,1.3438850298082885
6.0,0.3,0.02781498396701617,0.0053119651134813685,300,0.012932777773467524,0.0030755635587860607,300,2.1507354764945013
6.0,0.4,0.015660347649533193,0.0035211637012480842,300,0.007632517557905976,0.0022314093480121882,300,2.0517932033201505
6.0,0.5,0.010875706189310724,0.0029852995929752955,300,0.00809942726401529,0.0023431789555109347,300,1.3427747215695218
